ott_order,ott_name,ott_genus,ott_id_genus,reference_taxon,misof_figure_name
Archaeognatha,Machilis hrabei,Machilis,820895,Archaeognatha,Machilis
Archaeognatha,Meinertellus cundinamarcensis,Meinertellus,3005330,Archaeognatha,Meinertellus
Coleoptera,Aleochara curtula,Aleochara,725145,Coleoptera,Aleochara
Coleoptera,Carabus granulatus,Carabus,413468,Coleoptera,Carabus
Coleoptera,Carabus latreilleanus,Carabus,413468,Coleoptera,Carabus
Coleoptera,Carabus nemoralis,Carabus,413468,Coleoptera,Carabus
Coleoptera,Dendroctonus frontalis,Dendroctonus,541438,Coleoptera,Dendroctonus
Coleoptera,Dendroctonus ponderosae (mountain pine beetle),Dendroctonus,541438,Coleoptera,Dendroctonus
Coleoptera,Gyrinus marinus,Gyrinus,112570,Coleoptera,Gyrinus
Coleoptera,Gyrinus woodruffi,Gyrinus,112570,Coleoptera,Gyrinus
Coleoptera,Lepicerus sp. AD-2013,Lepicerus,900806,Coleoptera,Lepicerus
Coleoptera,Meloe violaceus,Meloe,321954,Coleoptera,Meloe
Coleoptera,Priacma serrata,Priacma,347781,Coleoptera,Priacma
Coleoptera,Tribolium castaneum (red flour beetle),Tribolium,1093463,Coleoptera,Tribolium
Collembola,Anurida maritima,Anurida,84736,Collembola,Anurida
Collembola,Folsomia candida,Folsomia,507328,Collembola,Folsomia
Collembola,Pogonognathellus sp. AD-2013,Pogonognathellus,281175,Collembola,Pogonognathellus
Collembola,Sminthurus viridis,Sminthurus,510667,Collembola,Sminthurus
Collembola,Tetrodontophora bielanensis,Tetrodontophora,579167,Collembola,Tetrodontophora
Dermaptera,Apachyus charteceus,Apachyus,1030107,Dermaptera,Apachyus
Dermaptera,Forficula auricularia,Forficula,661722,Dermaptera,Forficula
Blattodea,Blaberus atropos,Blaberus,518254,Dictyoptera,Blaberus
Blattodea,Cryptocercus wrighti,Cryptocercus,991750,Dictyoptera,Cryptocercus
Isoptera,Mastotermes darwiniensis,Mastotermes,362117,Dictyoptera,Mastotermes
Blattodea,Periplaneta americana,Periplaneta,48276,Dictyoptera,Periplaneta
Blattodea,Prorhinotermes simplex,Prorhinotermes,216735,Dictyoptera,Prorhinotermes
Diplura,Campodea augens,Campodea,296195,Diplura,Campodea
Diplura,Occasjapyx japonicus,Occasjapyx,639800,Diplura,Occasjapyx
Diptera,Aedes aegypti (yellow fever mosquito),Aedes,5542998,Diptera,Aedes
Diptera,Anopheles gambiae,Anopheles,793190,Diptera,Anopheles
Diptera,Bibio marci,Bibio,121915,Diptera,Bibio
Diptera,Bombylius major,Bombylius,376338,Diptera,Bombylius
Diptera,Drosophila melanogaster (fruit fly),Drosophila,34907,Diptera,Drosophila
Diptera,Glossina morsitans,Glossina,753708,Diptera,Glossina
Diptera,Lipara lucens,Lipara,4413820,Diptera,Lipara
Diptera,Phlebotomus duboscqi,Phlebotomus,744763,Diptera,Phlebotomus
Diptera,Phlebotomus simici,Phlebotomus,744763,Diptera,Phlebotomus
Diptera,Rhagoletis pomonella,Rhagoletis,1057208,Diptera,Rhagoletis
Diptera,Sarcophaga crassipalpis,Sarcophaga,5554316,Diptera,Sarcophaga
Diptera,Tipula abdominalis,Tipula,990415,Diptera,Tipula
Diptera,Triarthria setipennis,Triarthria,156999,Diptera,Triarthria
Diptera,Trichocera saltator,Trichocera,373195,Diptera,Trichocera
Embioptera,Aposthonia japonica,Aposthonia,556765,Embioptera,Aposthonia
Embioptera,Haploembia palaui,Haploembia,956976,Embioptera,Haploembia
Ephemeroptera,Baetis sp. AD-2013,Baetis,48989,Ephemeroptera,Baetis
Ephemeroptera,Ephemera danica,Ephemera,669563,Ephemeroptera,Ephemera
Ephemeroptera,Eurylophella sp. AD-2013,Eurylophella,343940,Ephemeroptera,Eurylophella
Ephemeroptera,Isonychia bicolor,Isonychia,796475,Ephemeroptera,Isonychia
Grylloblattodea,Galloisiana yuasai,Galloisiana,887247,Grylloblattodea,Galloisiana
Grylloblattodea,Grylloblatta bifratrilecta,Grylloblatta,489985,Grylloblattodea,Grylloblatta
Hemiptera,Acanthocasuarina muellerianae,Acanthocasuarina,5543819,Hemiptera,Acanthocasuarina
Hemiptera,Acanthosoma haemorrhoidale,Acanthosoma,935459,Hemiptera,Acanthosoma
Hemiptera,Aphis citricidus (brown citrus aphid),Aphis,1026470,Hemiptera,Aphis
Hemiptera,Aphis gossypii,Aphis,1026470,Hemiptera,Aphis
Hemiptera,Bemisia tabaci,Bemisia,3450049,Hemiptera,Bemisia
Hemiptera,Cercopis vulnerata,Cercopis,3410,Hemiptera,Cercopis
Hemiptera,Essigella californica,Essigella,753374,Hemiptera,Essigella
Hemiptera,Nilaparvata lugens,Nilaparvata,876546,Hemiptera,Nilaparvata
Hemiptera,Notostira elongata,Notostira,3478333,Hemiptera,Notostira
Hemiptera,Okanagana villosa,Okanagana,58995,Hemiptera,Okanagana
Hemiptera,Planococcus citri,Planococcus,378037,Hemiptera,Planococcus
Hemiptera,Planococcus minor,Planococcus,378037,Hemiptera,Planococcus
Hemiptera,Ranatra linearis,Ranatra,169151,Hemiptera,Ranatra
Hemiptera,Trialeurodes vaporariorum,Trialeurodes,9048,Hemiptera,Trialeurodes
Hemiptera,Velia caprai,Velia,346924,Hemiptera,Velia
Hemiptera,Xenophysella greensladeae,Xenophysella,703980,Hemiptera,Xenophysella
Hymenoptera,Acromyrmex echinatior,Acromyrmex,680779,Hymenoptera,Acromyrmex
Hymenoptera,Acromyrmex versicolor,Acromyrmex,680779,Hymenoptera,Acromyrmex
Hymenoptera,Apis mellifera (honey bee),Apis,52851,Hymenoptera,Apis
Hymenoptera,Bombus impatiens,Bombus,61351,Hymenoptera,Bombus
Hymenoptera,Chrysis viridula,Chrysis,881312,Hymenoptera,Chrysis
Hymenoptera,Cotesia vestalis,Cotesia,553561,Hymenoptera,Cotesia
Hymenoptera,Exoneura,Exoneura,61372,Hymenoptera,Exoneura
Hymenoptera,Harpegnathos saltator (Jerdon's jumping ant),Harpegnathos,961253,Hymenoptera,Harpegnathos
Hymenoptera,Leptopilina clavipes,Leptopilina,485012,Hymenoptera,Leptopilina
Hymenoptera,Nasonia giraulti,Nasonia,729596,Hymenoptera,Nasonia
Hymenoptera,Orussus abietinus,Orussus,76558,Hymenoptera,Orussus
Hymenoptera,Tenthredo koehleri,Tenthredo,359159,Hymenoptera,Tenthredo
Lepidoptera,Bombyx mori (domestic silkworm),Bombyx,440273,Lepidoptera,Bombyx
Lepidoptera,Dyseriocrania subpurpurella,Dyseriocrania,663283,Lepidoptera,Dyseriocrania
Lepidoptera,Manduca sexta,Manduca,845197,Lepidoptera,Manduca
Lepidoptera,Micropterix calthella,Micropterix,838216,Lepidoptera,Micropterix
Lepidoptera,Nemophora degeerella,Nemophora,801145,Lepidoptera,Nemophora
Lepidoptera,Parides eurimedes,Parides,160800,Lepidoptera,Parides
Lepidoptera,Polyommatus icarus,Polyommatus,3147190,Lepidoptera,Polyommatus
Lepidoptera,Triodia sylvina,Triodia,504968,Lepidoptera,Triodia
Lepidoptera,Yponomeuta evonymellus,Yponomeuta,1085167,Lepidoptera,Yponomeuta
Lepidoptera,Zygaena fausta,Zygaena,624915,Lepidoptera,Zygaena
Mantodea,Empusa pennata,Empusa,87192,Mantodea,Empusa
Mantodea,Mantis religiosa,Mantis,641494,Mantodea,Mantis
Mantodea,Metallyticus splendidus,Metallyticus,670562,Mantodea,Metallyticus
Mantophasmatodea,Tanzaniophasma sp. AD-2013,Tanzaniophasma,3480482,Mantophasmatodea,Tanzaniophasma
Mecoptera,Bittacus pilicornis,Bittacus,1094293,Mecoptera,Bittacus
Mecoptera,Boreus hyemalis,Boreus,984742,Mecoptera,Boreus
Mecoptera,Nannochorista neotropica,Nannochorista,524826,Mecoptera,Nannochorista
Mecoptera,Panorpa vulgaris,Panorpa,556771,Mecoptera,Panorpa
Megaloptera,Corydalus cornutus,Corydalus,1062257,Megaloptera,Corydalus
Megaloptera,Sialis hamata,Sialis,418213,Megaloptera,Sialis
Neuroptera,Conwentzia psociformis,Conwentzia,565352,Neuroptera,Conwentzia
Neuroptera,Euroleon nostras,Euroleon,1043120,Neuroptera,Euroleon
Neuroptera,Osmylus fulvicephalus,Osmylus,247487,Neuroptera,Osmylus
Neuroptera,Pseudomallada prasinus,Pseudomallada,770517,Neuroptera,Pseudomallada
Odonata,Calopteryx splendens,Calopteryx,5015630,Odonata,Calopteryx
Odonata,Cordulegaster boltonii,Cordulegaster,210438,Odonata,Cordulegaster
Odonata,Epiophlebia superstes,Epiophlebia,915723,Odonata,Epiophlebia
Orthoptera,Ceuthophilus sp. AD-2013,Ceuthophilus,188744,Orthoptera,Ceuthophilus
Orthoptera,Gryllotalpa sp. AD-2013,Gryllotalpa,202321,Orthoptera,Gryllotalpa
Orthoptera,Prosarthria teretrirostris,Prosarthria,750332,Orthoptera,Prosarthria
Orthoptera,Stenobothrus lineatus,Stenobothrus,706823,Orthoptera,Stenobothrus
Orthoptera,Tetrix subulata,Tetrix,5540501,Orthoptera,Tetrix
Psocoptera,Ectopsocus briggsi,Ectopsocus,899850,Psocodea,Ectopsocus
Psocoptera,Liposcelis bostrychophila,Liposcelis,433879,Psocodea,Liposcelis
Phthiraptera,Menopon gallinae,Menopon,174702,Psocodea,Menopon
Phthiraptera,Pediculus humanus,Pediculus,1034022,Psocodea,Pediculus
Phasmatodea,Aretaon asperrimus,Aretaon,390513,Phasmatodea,Aretaon
Phasmatodea,Peruphasma schultei,Peruphasma,762238,Phasmatodea,Peruphasma
Phasmatodea,Timema cristinae,Timema,814240,Phasmatodea,Timema
Plecoptera,Cosmioperla kuna,Cosmioperla,74576,Plecoptera,Cosmioperla
Plecoptera,Leuctra sp. AD-2013,Leuctra,1002095,Plecoptera,Leuctra
Plecoptera,Perla marginata,Perla,5521649,Plecoptera,Perla
Protura,Acerentomon franzi,Acerentomon,599106,Protura,Acerentomon
Protura,Acerentomon microrhinus,Acerentomon,599106,Protura,Acerentomon
Protura,Acerentomon sp. AD-2013,Acerentomon,599106,Protura,Acerentomon
Raphidioptera,Inocellia crassicornis,Inocellia,719879,Raphidioptera,Inocellia
Raphidioptera,Xanthostigma xanthostigma,Xanthostigma,512421,Raphidioptera,Xanthostigma
Siphonaptera,Archaeopsylla erinacei,Archaeopsylla,408315,Siphonaptera,Archaeopsylla
Siphonaptera,Ceratophyllus gallinae,Ceratophyllus,974345,Siphonaptera,Ceratophyllus
Siphonaptera,Ctenocephalides felis,Ctenocephalides,81978,Siphonaptera,Ctenocephalides
Strepsiptera,Mengenilla chobauti,Mengenilla,418221,Strepsiptera,Mengenilla
Strepsiptera,Mengenilla sp.,Mengenilla,418221,Strepsiptera,Mengenilla
Strepsiptera,Stylops melittae,Stylops,271151,Strepsiptera,Stylops
Thysanoptera,Frankliniella cephalica,Frankliniella,768551,Thysanoptera,Frankliniella
Thysanoptera,Gynaikothrips ficorum,Gynaikothrips,235740,Thysanoptera,Gynaikothrips
Thysanoptera,Thrips palmi,Thrips,211780,Thysanoptera,Thrips
Trichoptera,Annulipalpia sp. AD-2013,Annulipalpia,524298,Trichoptera,Annulipalpia chim.
Trichoptera,Hydroptila sp. AD-2013,Hydroptila,1089625,Trichoptera,Hydroptila
Trichoptera,Philopotamus ludificatus,Philopotamus,264473,Trichoptera,Philopotamus
Trichoptera,Platycentropus radiatus,Platycentropus,925544,Trichoptera,Platycentropus
Trichoptera,Rhyacophila fasciata,Rhyacophila,200016,Trichoptera,Rhyacophila
Zoraptera,Zorotypus caudelli,Zorotypus,955258,Zoraptera,Zorotypus
Zoraptera,Zorotypus weidneri,Zorotypus,955258,Zoraptera,Zorotypus
Zygentoma,Atelura formicaria,Atelura,1056657,Zygentoma,Atelura
Zygentoma,Thermobia domestica,Thermobia,167004,Zygentoma,Thermobia
Zygentoma,Tricholepidion gertschi,Tricholepidion,943276,Zygentoma,Tricholepidion
Blattodea,Zootermopsis nevadensis,Zootermopsis,656304,Dictyoptera,Zootermopsis
Hemiptera,Acyrthosiphon pisum,Acyrthosiphon,814488,Hemiptera,Acyrthosiphon
,Uca pugilator,Uca,1086633,Crustacea,Celuca
,Cypridinidae,Cypridinidae,580072,Crustacea,Cypridininae
,Daphnia pulex,Daphnia,59084,Crustacea,Daphnia
,Glomeris pustulata,Glomeris,274375,Myriapoda,Glomeris
,Ixodes scapularis,Ixodes,435915,Chelicerata,Ixodes
,Lepeophtheirus salmonis,Lepeophtheirus,430266,Crustacea,Lepeophtheirus
,Penaeus vannamei,Penaeus,764909,Crustacea,Litopenaeus