Organism,Taxonomy ID,Run Accession
Acanthocasuarina muellerianae,1323547,SRR921560
Acanthosoma haemorrhoidale,483950,SRR921561
Acerentomon sp. AD-2013,1323558,SRR921562
Aleochara curtula,135881,SRR921563
Annulipalpia sp. AD-2013,1499517,SRR921580
Anurida maritima,64695,SRR921564
Apachyus charteceus,1323532,SRR921565
Aposthonia japonica,911381,SRR921566
Aretaon asperrimus,173775,SRR921567
Atelura formicaria,459531,SRR921568
Baetis sp. AD-2013,1476881,SRR921569
Bibio marci,189979,SRR921570
Bittacus pilicornis,172808,SRR921571
Blaberus atropos,36942,SRR921572
Bombylius major,240869,SRR921573
Boreus hyemalis,185833,SRR921574
Calopteryx splendens,52612,SRR921575
Campodea augens,438502,SRR921576
Ceratophyllus gallinae,217689,SRR921577
Cercopis vulnerata,279269,SRR921578
Ceuthophilus sp. AD-2013,1323559,SRR921579
Chrysis viridula,212616,SRR921581
Conwentzia psociformis,1323535,SRR921582
Cordulegaster boltonii,126173,SRR921583
Corydalus cornutus,559164,SRR921584
Cosmioperla kuna,1323536,SRR921585
Cotesia vestalis,217443,SRR921586
Cryptocercus wrighti,89837,SRR921587
Ctenocephalides felis,7515,SRR921588
Dyseriocrania subpurpurella,173635,SRR921593
Ectopsocus briggsi,322492,SRR645929
Empusa pennata,1323537,SRR921590
Ephemera danica,1049336,SRR921591
Epiophlebia superstes,126247,SRR921592
Essigella californica,759921,SRR921594
Euroleon nostras,516507,SRR921595
Eurylophella sp. AD-2013,1323562,SRR921596
Folsomia candida,158441,SRR921597
Forficula auricularia,13068,SRR921598
Frankliniella cephalica,407008,SRR921599
Galloisiana yuasai,378494,SRR921600
Grylloblatta bifratrilecta,707599,SRR921601
Gryllotalpa sp. AD-2013,1323563,SRR921602
Gynaikothrips ficorum,59752,SRR921603
Gyrinus marinus,1323538,SRR921604
Haploembia palaui,1323539,SRR921605
Hydroptila sp. AD-2013,1325438,SRR921606
Inocellia crassicornis,279416,SRR921607
Isonychia bicolor,603693,SRR921608
Lepicerus sp. AD-2013,1323565,SRR921609
Leptopilina clavipes,63434,SRR921610
Leuctra sp. AD-2013,1323566,SRR921611
Lipara lucens,1323540,SRR921612
Liposcelis bostrychophila,185214,SRR921613
Machilis hrabei,438506,SRR921614
Mantis religiosa,7507,SRR921615
Mastotermes darwiniensis,13139,SRR921616
Meinertellus cundinamarcensis,1323549,SRR921617
Meloe violaceus,1323541,SRR921618
Menopon gallinae,328185,SRR921619
Metallyticus splendidus,627751,SRR921620
Nemophora degeerella,233164,SRR921621
Nilaparvata lugens,108931,SRR921622
Notostira elongata,537464,SRR921623
Occasjapyx japonicus,289462,SRR921624
Okanagana villosa,1323542,SRR921625
Orussus abietinus,222816,SRR921626
Osmylus fulvicephalus,446453,SRR921627
Panorpa vulgaris,52562,SRR921628
Parides eurimedes,299019,SRR921629
Periplaneta americana,6978,SRR921630
Perla marginata,227363,SRR921631
Peruphasma schultei,614134,SRR921632
Planococcus citri,170843,SRR921633
Platycentropus radiatus,763388,SRR921634
Pogonognathellus sp. AD-2013,1323567,SRR921635
Polyommatus icarus,265386,SRR921636
Prorhinotermes simplex,1312446,SRR921637
Prosarthria teretrirostris,58589,SRR921638
Pseudomallada prasinus,417508,SRR921589
Ranatra linearis,280158,SRR921639
Rhyacophila fasciata,1223722,SRR921640
Sminthurus viridis,109609,SRR921641
Stenobothrus lineatus,355390,SRR921642
Stylops melittae,50597,SRR921643
Tanzaniophasma sp. AD-2013,1323568,SRR921644
Tenthredo koehleri,1323543,SRR921645
Tetrix subulata,288127,SRR921646
Tetrodontophora bielanensis,48717,SRR921647
Thermobia domestica,89055,SRR921648
Thrips palmi,161013,SRR921649
Timema cristinae,61476,SRR921650
Trialeurodes vaporariorum,88556,SRR921651
Triarthria setipennis,670663,SRR921652
Trichocera saltator,1323544,SRR921653
Tricholepidion gertschi,89825,SRR921654
Triodia sylvina,537462,SRR921655
Velia caprai,301293,SRR921656
Xanthostigma xanthostigma,887762,SRR921657
Xenophysella greensladeae,1254495,SRR921658
Yponomeuta evonymellus,263930,SRR921659
Zorotypus caudelli,1323545,SRR921660
Zygaena fausta,287248,SRR921661
Manduca sexta,7130,SRR1577014
Philopotamus ludificatus,127480,SRR621117
Rhagoletis pomonella,28610,SRR3647626
Acromyrmex echinatior,103372,ERR034191
Aphis gossypii,80765,SRR4384533
Bemisia tabaci,7038,SRR1159209
Priacma serrata,50550,SRR596769
Mengenilla moldrzyki,1155016,SRR619393
Carabus granulatus,118799,SRR596983
Archaeopsylla erinacei,48909,SRR578730